자치구,커피전문점,일반 교과 학원,두발미용업
종로구,3613,382,480
중구,3542,175,816
용산구,2076,573,777
성동구,1859,1494,851
광진구,1887,1646,1337
동대문구,1472,984,891
중랑구,1037,1045,1108
성북구,1384,1755,1245
강북구,1095,740,997
도봉구,837,1162,847
노원구,1748,3281,1353
은평구,1296,1793,1443
서대문구,1323,1268,1185
마포구,4475,1855,2042
양천구,1375,5804,1428
강서구,2530,2347,1751
구로구,1384,1111,1134
금천구,1215,487,715
영등포구,3295,1082,1261
동작구,1628,1463,1105
관악구,2049,1230,1604
서초구,3897,3812,1832
강남구,7273,9020,6255
송파구,3372,4160,2328
강동구,1660,2104,1429
